"date","price","rate"
2013-11-03,53607.86,-0.00519597477639344
2013-11-10,53305.36,-0.0056588101494679
2013-11-17,53896.03,0.011019931318307
2013-11-24,54834.12,0.0172558076531839
2013-12-01,54704.89,-0.0023595257973561
2013-12-08,52727.52,-0.0368155817553397
2013-12-15,51761.82,-0.0184847085243245
2013-12-22,51097.75,-0.0129123469328487
2013-12-29,51267.29,0.00331246204801516
2014-01-05,51497.81,0.00448635551654952
2014-01-12,49796.5,-0.033594582057388
2014-01-19,50925.12,0.022411618080298
2014-01-26,50593.45,-0.00653419724240933
2014-02-02,50831.61,0.00469628389117638
2014-02-09,52137.9,0.0253737263493914
2014-02-16,53397.03,0.0238629949271534
2014-02-23,53400.11,5.76794472362252e-05
2014-03-02,53811.3,0.00767067639861985
2014-03-09,51954.46,-0.0351159166469994
2014-03-16,49520.84,-0.0479739745649717
2014-03-23,50555.93,0.0206866571049389
2014-03-30,51831.67,0.0249211042234201
2014-04-06,52660.68,0.0158677146076283
2014-04-13,52389.75,-0.00515810550604812
2014-04-20,51510.98,-0.016915972677241
2014-04-27,51497.7,-0.000257842350247728
2014-05-04,51782.38,0.00551279048141851
2014-05-11,50451.79,-0.0260317101155092
2014-05-18,50858.58,0.00803061298029206
2014-05-25,52413.38,0.030113062419419
2014-06-01,52066.97,-0.00663112765905716
2014-06-08,53233.18,0.0221511115631738
2014-06-15,52759.01,-0.00894732269020793
2014-06-22,52923.26,0.00310837631040073
2014-06-29,51713.44,-0.0231252307225738
2014-07-06,50995.56,-0.0139791389346193
2014-07-13,51085.89,0.00176976372448934
2014-07-20,51315.91,0.00449250671115209
2014-07-27,51608.79,0.00569116627041311
2014-08-03,50390.94,-0.0238806098035571
2014-08-10,49593.68,-0.0159479907559472
2014-08-17,51512.57,0.0379624492999788
2014-08-24,52143.1,0.0121660064930929
2014-08-31,51868.77,-0.00527498709740648
2014-09-07,54412.52,0.0478773994877777
2014-09-14,54021.81,-0.0072064205289486
2014-09-21,55636.77,0.0294564596968492
2014-09-28,54574.21,-0.0192828867700552
2014-10-05,53754.63,-0.0151316240059352
2014-10-12,52734.24,-0.0191648428891789
2014-10-19,52662.9,-0.00135373712977049
2014-10-26,53320.13,0.012402710603153
